District,Season,Soil_Type,N,P,K,Soil_pH,Temperature,Humidity,Rainfall,Crop
Pune,Kharif,Black,72.0,39.0,57.0,7.07,19.14,63.11,99.89,Rice
Solapur,Kharif,Black,51.0,31.0,57.0,8.1,26.38,69.25,77.5,Bajra
Solapur,Rabi,Black,57.0,34.0,60.0,7.8,25.07,66.45,60.23,Jowar
Solapur,Zaid,Black,52.0,30.0,56.0,7.87,25.46,68.03,71.68,Fodder
Nashik,Zaid,Loamy,63.0,37.0,58.0,6.86,28.04,33.22,89.55,Vegetables
Pune,Rabi,Black,73.0,38.0,51.0,7.31,21.1,56.76,111.04,Wheat
Solapur,Kharif,Black,57.0,32.0,60.0,8.17,27.95,70.6,80.83,Bajra
Solapur,Kharif,Black,49.0,35.0,60.0,7.62,26.7,74.82,70.17,Bajra
Solapur,Rabi,Black,55.0,36.0,59.0,7.34,27.36,74.23,70.8,Jowar
Nashik,Zaid,Loamy,64.0,40.0,55.0,6.64,27.89,30.85,76.19,Vegetables
Solapur,Zaid,Black,50.0,35.0,58.0,7.5,27.11,70.44,72.75,Fodder
Pune,Rabi,Black,72.0,37.0,53.0,6.59,22.56,56.38,107.36,Wheat
Solapur,Kharif,Black,56.0,31.0,59.0,7.75,27.37,72.82,71.93,Bajra
Nashik,Zaid,Loamy,69.0,38.0,55.0,6.75,28.31,35.97,97.24,Vegetables
Pune,Kharif,Black,75.0,40.0,54.0,6.94,20.27,57.2,98.61,Rice
Solapur,Kharif,Black,58.0,37.0,58.0,7.39,26.11,72.31,68.87,Bajra
Solapur,Kharif,Black,55.0,31.0,58.0,7.31,27.86,59.65,57.55,Bajra
Pune,Zaid,Black,76.0,36.0,57.0,7.32,21.06,59.87,102.93,Vegetables
Nashik,Rabi,Loamy,64.0,36.0,59.0,6.84,29.62,40.91,80.62,Gram
Pune,Zaid,Black,73.0,41.0,55.0,6.83,22.15,63.8,100.61,Vegetables
Solapur,Zaid,Black,56.0,35.0,56.0,7.56,26.62,70.52,60.41,Fodder
Nashik,Rabi,Loamy,61.0,37.0,54.0,6.78,29.15,37.24,93.43,Gram
Solapur,Zaid,Black,48.0,35.0,60.0,7.57,27.92,69.14,88.73,Fodder
Nashik,Kharif,Loamy,62.0,38.0,60.0,6.48,26.73,36.98,88.04,Onion
Nashik,Zaid,Loamy,67.0,35.0,55.0,6.82,27.89,33.17,87.07,Vegetables
Solapur,Zaid,Black,58.0,36.0,58.0,7.85,25.9,70.6,58.08,Fodder
Pune,Rabi,Black,68.0,40.0,52.0,7.1,19.93,62.07,107.93,Wheat
Solapur,Kharif,Black,50.0,34.0,57.0,7.42,26.94,70.99,83.68,Bajra
Pune,Zaid,Black,76.0,41.0,56.0,6.97,20.01,69.35,102.28,Vegetables
Pune,Zaid,Black,73.0,36.0,56.0,6.8,19.64,61.47,113.32,Vegetables
Solapur,Rabi,Black,50.0,33.0,58.0,8.2,24.99,64.64,52.5,Jowar
Pune,Zaid,Black,72.0,37.0,52.0,7.09,21.92,55.6,106.86,Vegetables
Solapur,Rabi,Black,48.0,32.0,58.0,7.69,27.51,61.58,82.51,Jowar
Solapur,Rabi,Black,56.0,37.0,62.0,7.89,29.16,69.84,65.42,Jowar
Pune,Zaid,Black,75.0,40.0,54.0,6.85,19.05,60.87,117.42,Vegetables
Solapur,Kharif,Black,54.0,32.0,56.0,7.87,28.15,66.02,83.18,Bajra
Nashik,Kharif,Loamy,66.0,40.0,57.0,6.8,29.87,37.08,99.78,Onion
Solapur,Kharif,Black,58.0,34.0,62.0,7.55,27.42,75.21,74.11,Bajra
Solapur,Rabi,Black,53.0,37.0,55.0,7.99,25.51,67.09,89.07,Jowar
Solapur,Rabi,Black,54.0,36.0,60.0,7.71,28.01,62.93,65.24,Jowar
Pune,Kharif,Black,74.0,40.0,54.0,7.15,20.0,70.04,107.69,Rice
Solapur,Zaid,Black,57.0,32.0,60.0,7.56,28.99,68.01,77.56,Fodder
Nashik,Rabi,Loamy,67.0,36.0,54.0,6.9,29.54,27.75,106.72,Gram
Nashik,Zaid,Loamy,70.0,35.0,58.0,6.7,29.25,28.93,92.47,Vegetables
Nashik,Zaid,Loamy,64.0,37.0,59.0,6.57,28.66,35.34,98.0,Vegetables
Solapur,Zaid,Black,53.0,38.0,59.0,7.99,25.5,68.28,51.84,Fodder
Nashik,Kharif,Loamy,66.0,35.0,59.0,6.97,29.67,33.07,90.32,Onion
Pune,Zaid,Black,77.0,40.0,54.0,7.07,20.78,58.9,114.64,Vegetables
Pune,Rabi,Black,70.0,40.0,52.0,7.15,21.66,56.89,110.04,Wheat
Solapur,Kharif,Black,48.0,32.0,56.0,7.46,29.06,72.54,71.77,Bajra
Pune,Zaid,Black,71.0,37.0,55.0,7.1,20.26,62.12,113.36,Vegetables
Nashik,Kharif,Loamy,64.0,38.0,56.0,6.77,29.06,35.34,87.87,Onion
Pune,Zaid,Black,73.0,39.0,54.0,7.05,20.26,52.48,128.31,Vegetables
Pune,Zaid,Black,76.0,40.0,55.0,7.09,20.24,69.12,103.87,Vegetables
Nashik,Rabi,Loamy,65.0,39.0,58.0,7.16,28.54,42.86,93.53,Gram
Pune,Rabi,Black,75.0,40.0,52.0,6.57,19.28,56.42,97.6,Wheat
Nashik,Zaid,Loamy,66.0,41.0,54.0,6.83,28.66,29.31,99.45,Vegetables
Nashik,Kharif,Loamy,68.0,38.0,58.0,6.88,27.96,35.03,78.95,Onion
Pune,Kharif,Black,79.0,39.0,51.0,6.8,20.47,54.74,112.18,Rice
Nashik,Rabi,Loamy,59.0,37.0,53.0,6.4,28.99,32.38,108.34,Gram
Pune,Zaid,Black,72.0,41.0,50.0,6.87,21.73,58.79,98.07,Vegetables
Pune,Zaid,Black,70.0,40.0,53.0,7.16,19.45,55.02,113.61,Vegetables
Pune,Zaid,Black,74.0,39.0,54.0,7.28,20.86,70.7,116.08,Vegetables
Pune,Rabi,Black,78.0,40.0,51.0,7.09,19.07,73.25,92.48,Wheat
Solapur,Rabi,Black,57.0,36.0,58.0,8.02,27.28,74.73,72.53,Jowar
Nashik,Zaid,Loamy,67.0,41.0,54.0,6.93,27.87,24.68,119.5,Vegetables
Solapur,Rabi,Black,54.0,38.0,62.0,7.63,26.5,65.26,58.75,Jowar
Solapur,Kharif,Black,57.0,38.0,61.0,7.98,25.53,75.31,82.36,Bajra
Pune,Kharif,Black,71.0,36.0,55.0,6.54,20.53,68.4,91.08,Rice
Pune,Rabi,Black,71.0,41.0,56.0,6.92,22.61,64.89,121.37,Wheat
Pune,Kharif,Black,78.0,37.0,51.0,7.24,21.55,52.82,115.32,Rice
Nashik,Zaid,Loamy,60.0,39.0,54.0,7.03,28.5,29.73,89.7,Vegetables
Pune,Rabi,Black,79.0,40.0,51.0,7.2,20.01,57.86,125.8,Wheat
Pune,Zaid,Black,70.0,41.0,55.0,7.21,22.1,64.96,118.65,Vegetables
Nashik,Kharif,Loamy,64.0,40.0,58.0,6.86,29.05,36.77,94.65,Onion
Solapur,Zaid,Black,53.0,33.0,57.0,7.93,27.66,75.21,74.9,Fodder
Solapur,Zaid,Black,52.0,32.0,63.0,7.66,27.92,69.58,68.41,Fodder
Solapur,Zaid,Black,56.0,34.0,62.0,7.4,27.81,73.03,79.33,Fodder
Solapur,Kharif,Black,52.0,34.0,63.0,7.66,25.22,73.73,78.09,Bajra
Nashik,Rabi,Loamy,65.0,39.0,55.0,7.03,27.4,42.81,87.42,Gram
Pune,Kharif,Black,75.0,38.0,55.0,6.98,20.65,54.04,97.49,Rice
Pune,Kharif,Black,73.0,42.0,57.0,7.26,20.61,65.09,101.6,Rice
Nashik,Kharif,Loamy,64.0,38.0,60.0,7.01,29.09,40.48,88.72,Onion
Nashik,Rabi,Loamy,60.0,40.0,59.0,6.84,30.8,45.25,78.3,Gram
Pune,Kharif,Black,77.0,39.0,52.0,6.86,19.84,60.79,106.19,Rice
Solapur,Kharif,Black,57.0,34.0,61.0,8.02,28.6,74.0,68.3,Bajra
Pune,Kharif,Black,74.0,38.0,53.0,7.06,20.45,62.5,92.3,Rice
Nashik,Rabi,Loamy,67.0,37.0,57.0,6.34,27.8,26.18,94.21,Gram
Pune,Zaid,Black,78.0,36.0,55.0,7.04,19.82,50.92,104.51,Vegetables
Nashik,Zaid,Loamy,60.0,37.0,57.0,6.78,27.58,30.22,96.14,Vegetables
Nashik,Zaid,Loamy,63.0,38.0,56.0,6.77,29.15,34.47,93.79,Vegetables
Nashik,Zaid,Loamy,65.0,38.0,54.0,6.54,30.01,35.08,98.43,Vegetables
Solapur,Kharif,Black,54.0,31.0,61.0,7.66,24.83,71.69,65.99,Bajra
Nashik,Zaid,Loamy,59.0,35.0,59.0,6.93,28.2,29.41,90.56,Vegetables
Solapur,Kharif,Black,48.0,32.0,59.0,7.83,28.08,67.27,73.34,Bajra
Solapur,Kharif,Black,60.0,37.0,58.0,7.73,28.74,62.4,72.3,Bajra
Nashik,Rabi,Loamy,67.0,39.0,55.0,6.9,28.9,25.1,92.98,Gram
Solapur,Rabi,Black,58.0,35.0,58.0,7.51,26.71,63.73,63.33,Jowar
Nashik,Rabi,Loamy,66.0,36.0,60.0,7.03,28.75,35.02,98.1,Gram
Pune,Rabi,Black,77.0,42.0,52.0,6.7,19.59,65.77,105.78,Wheat
Pune,Rabi,Black,75.0,38.0,55.0,6.99,19.59,60.48,103.51,Wheat
Pune,Zaid,Black,77.0,40.0,52.0,7.14,20.8,68.92,126.15,Vegetables
Pune,Rabi,Black,72.0,40.0,57.0,7.09,20.25,66.57,109.74,Wheat
Nashik,Rabi,Loamy,63.0,39.0,57.0,6.87,30.02,39.18,94.38,Gram
Solapur,Kharif,Black,57.0,32.0,62.0,7.94,26.78,73.58,73.97,Bajra
Solapur,Rabi,Black,56.0,34.0,60.0,7.78,27.24,73.53,63.6,Jowar
Pune,Rabi,Black,71.0,35.0,55.0,6.94,19.39,55.88,119.34,Wheat
Solapur,Zaid,Black,51.0,34.0,62.0,8.02,29.21,64.48,78.83,Fodder
Nashik,Kharif,Loamy,65.0,33.0,58.0,6.68,30.63,32.16,90.39,Onion
Solapur,Kharif,Black,58.0,33.0,57.0,7.56,27.78,62.93,59.8,Bajra
Solapur,Rabi,Black,55.0,35.0,59.0,7.73,27.8,66.1,76.77,Jowar
Nashik,Rabi,Loamy,66.0,40.0,59.0,7.27,28.73,43.13,95.75,Gram
Solapur,Zaid,Black,52.0,31.0,61.0,7.67,27.12,62.77,81.98,Fodder
Pune,Zaid,Black,75.0,38.0,53.0,6.8,19.17,50.79,126.13,Vegetables
Nashik,Kharif,Loamy,65.0,34.0,54.0,7.23,28.31,43.32,107.24,Onion
Nashik,Zaid,Loamy,64.0,37.0,57.0,7.01,29.44,33.86,98.86,Vegetables
Nashik,Rabi,Loamy,69.0,37.0,58.0,6.88,28.66,25.42,94.14,Gram
Solapur,Kharif,Black,50.0,36.0,55.0,7.74,29.21,71.55,75.26,Bajra
Pune,Kharif,Black,80.0,40.0,51.0,6.61,21.12,70.78,130.1,Rice
Solapur,Rabi,Black,51.0,35.0,60.0,7.88,25.54,68.19,69.87,Jowar
Solapur,Kharif,Black,57.0,33.0,63.0,8.24,28.31,75.82,81.77,Bajra
Pune,Zaid,Black,74.0,41.0,52.0,7.25,20.48,70.16,104.41,Vegetables
Solapur,Zaid,Black,51.0,35.0,60.0,7.86,28.18,75.19,75.39,Fodder
Solapur,Rabi,Black,56.0,30.0,58.0,7.6,28.96,69.32,88.28,Jowar
Solapur,Kharif,Black,56.0,35.0,57.0,7.75,26.79,73.12,76.15,Bajra
Pune,Zaid,Black,80.0,40.0,55.0,6.84,21.21,58.97,106.26,Vegetables
Pune,Rabi,Black,76.0,41.0,54.0,7.17,18.94,61.7,89.9,Wheat
Pune,Zaid,Black,71.0,39.0,54.0,7.24,20.83,60.62,91.87,Vegetables
Solapur,Zaid,Black,55.0,32.0,55.0,7.88,28.71,65.51,84.52,Fodder
Pune,Rabi,Black,74.0,38.0,52.0,6.83,20.91,69.24,107.52,Wheat
Pune,Zaid,Black,75.0,39.0,55.0,6.83,21.5,58.19,115.62,Vegetables
Pune,Kharif,Black,76.0,39.0,52.0,7.02,20.36,66.25,121.07,Rice
Pune,Zaid,Black,71.0,39.0,51.0,7.06,21.93,65.95,89.35,Vegetables
Solapur,Kharif,Black,56.0,30.0,59.0,7.93,26.92,62.37,74.43,Bajra
Solapur,Zaid,Black,52.0,35.0,56.0,7.76,26.92,71.18,91.38,Fodder
Solapur,Kharif,Black,53.0,31.0,60.0,7.97,26.8,66.55,63.16,Bajra
Solapur,Rabi,Black,53.0,36.0,57.0,7.69,26.81,68.57,69.27,Jowar
Nashik,Zaid,Loamy,67.0,38.0,53.0,6.68,28.69,36.4,87.1,Vegetables
Solapur,Kharif,Black,56.0,31.0,59.0,7.72,28.64,66.86,65.12,Bajra
Nashik,Rabi,Loamy,65.0,35.0,58.0,7.22,30.11,36.62,112.31,Gram
Nashik,Rabi,Loamy,62.0,37.0,57.0,6.65,28.92,31.33,91.29,Gram
Solapur,Rabi,Black,55.0,31.0,57.0,7.93,26.47,68.0,80.28,Jowar
Pune,Rabi,Black,74.0,37.0,56.0,6.91,21.03,67.2,127.78,Wheat
Nashik,Zaid,Loamy,66.0,36.0,60.0,6.69,29.58,39.69,96.43,Vegetables
Pune,Zaid,Black,70.0,39.0,55.0,6.99,19.69,58.15,117.27,Vegetables
Nashik,Zaid,Loamy,62.0,37.0,56.0,6.36,28.01,36.14,95.21,Vegetables
Solapur,Kharif,Black,56.0,31.0,62.0,7.78,27.46,65.92,65.41,Bajra
Pune,Zaid,Black,74.0,39.0,53.0,6.96,22.46,66.71,113.52,Vegetables
Pune,Rabi,Black,72.0,39.0,55.0,6.75,20.71,56.26,105.9,Wheat
Pune,Kharif,Black,75.0,39.0,53.0,6.92,19.59,71.97,86.97,Rice
Nashik,Zaid,Loamy,65.0,34.0,59.0,6.64,29.25,33.03,107.48,Vegetables
Solapur,Zaid,Black,54.0,38.0,59.0,7.82,28.26,64.09,85.68,Fodder
Pune,Kharif,Black,73.0,41.0,54.0,6.83,21.92,63.1,94.18,Rice
Pune,Rabi,Black,72.0,39.0,56.0,7.04,22.66,53.56,89.81,Wheat
Solapur,Rabi,Black,53.0,35.0,60.0,7.59,28.72,63.24,84.93,Jowar
Nashik,Rabi,Loamy,67.0,34.0,56.0,6.79,30.15,43.05,110.61,Gram
Solapur,Rabi,Black,56.0,32.0,60.0,8.13,26.13,66.72,72.06,Jowar
Nashik,Zaid,Loamy,62.0,33.0,58.0,6.75,28.86,31.89,89.87,Vegetables
Solapur,Kharif,Black,51.0,33.0,61.0,7.89,28.51,70.3,88.26,Bajra
Nashik,Rabi,Loamy,67.0,35.0,59.0,6.69,28.74,34.14,107.21,Gram
Solapur,Zaid,Black,59.0,36.0,59.0,7.47,28.44,72.34,59.74,Fodder
Nashik,Kharif,Loamy,65.0,41.0,60.0,6.92,28.22,38.49,85.19,Onion
Solapur,Zaid,Black,56.0,33.0,58.0,7.59,25.58,72.55,62.96,Fodder
Solapur,Kharif,Black,60.0,35.0,58.0,7.89,26.58,68.32,67.33,Bajra
Nashik,Kharif,Loamy,64.0,40.0,57.0,6.91,30.0,27.61,105.43,Onion
Nashik,Rabi,Loamy,64.0,35.0,56.0,6.51,27.86,32.94,105.16,Gram
Solapur,Rabi,Black,55.0,37.0,59.0,7.84,27.48,70.47,69.8,Jowar
Pune,Zaid,Black,70.0,41.0,53.0,7.23,19.82,61.57,126.75,Vegetables
Solapur,Zaid,Black,49.0,31.0,59.0,7.72,27.18,69.02,68.96,Fodder
Pune,Rabi,Black,72.0,42.0,51.0,7.23,20.3,61.48,130.83,Wheat
Pune,Kharif,Black,75.0,42.0,56.0,7.09,21.91,67.89,98.28,Rice
Nashik,Rabi,Loamy,66.0,36.0,55.0,6.82,29.62,32.19,94.76,Gram
Pune,Kharif,Black,78.0,40.0,54.0,6.53,21.68,65.86,112.94,Rice
Pune,Kharif,Black,71.0,40.0,52.0,6.81,18.66,60.93,109.97,Rice
Solapur,Zaid,Black,60.0,32.0,61.0,8.09,26.58,74.55,80.31,Fodder
Nashik,Zaid,Loamy,64.0,36.0,56.0,6.66,29.69,36.29,89.6,Vegetables
Nashik,Kharif,Loamy,65.0,38.0,58.0,7.02,30.09,32.53,87.76,Onion
Pune,Zaid,Black,76.0,40.0,52.0,6.65,20.15,62.32,109.97,Vegetables
Pune,Zaid,Black,79.0,42.0,53.0,7.2,19.27,60.45,98.03,Vegetables
Nashik,Kharif,Loamy,66.0,38.0,55.0,7.1,29.62,36.42,108.47,Onion
Pune,Kharif,Black,70.0,41.0,51.0,7.38,21.88,57.75,96.72,Rice
Nashik,Kharif,Loamy,64.0,39.0,55.0,6.47,28.12,27.49,92.51,Onion
Solapur,Zaid,Black,57.0,37.0,55.0,7.73,27.8,67.45,93.74,Fodder
Nashik,Zaid,Loamy,62.0,35.0,56.0,7.12,30.12,30.49,113.82,Vegetables
Nashik,Zaid,Loamy,63.0,37.0,58.0,6.98,29.82,35.64,101.92,Vegetables
Pune,Rabi,Black,70.0,39.0,52.0,6.56,21.83,59.74,108.47,Wheat
Nashik,Kharif,Loamy,58.0,36.0,60.0,6.71,28.14,27.59,92.53,Onion
Pune,Kharif,Black,75.0,39.0,57.0,7.12,19.82,67.18,112.81,Rice
Solapur,Zaid,Black,56.0,34.0,57.0,8.1,27.88,77.06,91.68,Fodder
Nashik,Kharif,Loamy,65.0,37.0,61.0,6.66,28.99,41.97,96.68,Onion
Solapur,Rabi,Black,48.0,33.0,58.0,7.7,24.85,66.9,72.95,Jowar
Pune,Zaid,Black,72.0,41.0,54.0,7.12,20.55,61.8,118.55,Vegetables
Solapur,Zaid,Black,53.0,33.0,60.0,7.88,26.71,61.76,59.15,Fodder
Solapur,Zaid,Black,54.0,33.0,61.0,7.91,26.65,64.5,64.95,Fodder
Nashik,Rabi,Loamy,60.0,36.0,55.0,6.71,28.49,38.62,76.57,Gram
Solapur,Zaid,Black,58.0,32.0,57.0,7.83,26.87,64.92,75.59,Fodder
Nashik,Zaid,Loamy,66.0,40.0,58.0,6.89,30.03,35.1,91.89,Vegetables
Pune,Zaid,Black,78.0,36.0,55.0,7.16,19.4,64.29,98.75,Vegetables
Pune,Rabi,Black,73.0,39.0,57.0,7.09,18.21,58.33,113.91,Wheat
